Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
1/1/07,Glen Canyon National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported
1/22/07,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
1/22/07,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Vessel Related
1/29/07,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving 
1/29/07,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54,Driving 
2/7/07,Gateway National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported
2/10/07,Black Canyon Of The Gunnison National Park,Fall,Fall,Unintentional,Fatal injury,Female,15-24,Not Reported
2/11/07,Big South Fork National River and Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
2/24/07,Mount Rainier National Park,Avalanche,Environmental,Unintentional,Fatal injury,Male,45-54,Skiing
3/3/07,Biscayne National Park,Vessel Incident ,Other Transportation,Unintentional,Fatal injury,Male,25-34,Diving - Scuba
3/6/07,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
3/7/07,Gateway National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related
3/14/07,Colorado National Monument,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving 
3/14/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,0-14,Driving 
3/19/07,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Hiking
3/19/07,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Hiking
3/23/07,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Other
3/23/07,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,35-44,Other
3/27/07,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,35-44,Vessel Related
3/29/07,Glen Canyon National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
3/31/07,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
4/2/07,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,Not Reported,Not Reported
