"","Parkname","gnis_id","Count","TotalValue","lon","lat","Gnis Id"
"1","Abraham Lincoln Birthplace","496556",10,1940962,-85.6444254945526,37.6119830654186,"496556"
"2","Adams","1888899",10,2196319,-71.0125499645413,42.2566028071673,"1888899"
"3","African Burial Ground","2060434",7,554291,-74.0043303610801,40.7145577358025,"2060434"
"4","Agate Fossil Beds","826917",10,125829,-103.744009154185,42.4214793207314,"826917"
"5","Alibates Flint Quarries","1377214",10,43903,-101.671717666903,35.5819656012028,"1377214"
"6","Allegheny Portage Railroad","1214216",10,1359438,-78.5318637936133,40.4467794170991,"1214216"
"7","Andersonville","310534",10,1299637,-84.1298941097652,32.1983097330623,"310534"
"8","Andrew Johnson","1304837",10,517177,-82.8381443792622,36.1553700408945,"1304837"
"9","Aniakchak","1416034",40,2836,-158.11781163195,56.8956143242121,"1416034"
"10","Aniakchak","1416034",40,2836,-157.720746026847,56.8657089122263,"1416034"
"11","Antietam","589057",10,3765950,-77.7380759692048,39.4701632161484,"589057"
"12","Apostle Islands","1581059",10,1866946,-90.5795576757774,46.9367323910659,"1581059"
"13","Appomattox Court House","1462531",10,2621466,-78.8008967688407,37.3827556410728,"1462531"
"14","Arches","1455716",10,11263626,-109.58637758463,38.7226244095915,"1455716"
"15","Arkansas Post","2733432",10,364456,-91.3473337597439,34.0207319423128,"2733432"
"16","Arlington House","1888900",10,6203861,-77.0727292211596,38.8832756571887,"1888900"
"17","Aztec Ruins","885961",10,436658,-107.999934946495,36.8368279755016,"885961"
"18","Badlands","1265096",10,9144314,-102.393955095558,43.8340695663258,"1265096"
"19","Bandelier","928874",10,1852772,-106.305444434084,35.7576123337358,"928874"
"20","Bent's Old Fort","2559483",10,264907,-103.426659478243,38.03978174052,"2559483"
"21","Bering Land Bridge","1416037",10,20605,-164.408700937522,65.9608577743328,"1416037"
"22","Big Hole","779820",10,432746,-113.645857205308,45.6464796129953,"779820"
"23","Big Thicket","1888902",10,1251606,-94.2316268600623,30.3408805375378,"1888902"
