"","gnis_id","Parkname","Region","State","Unit Code","Unit Name","Unit Type","Visitors","YearRaw","lon","lat","Gnis Id"
"1","2060434","African Burial Ground","NE","NY","AFBG","African Burial Ground National Monument","National Monument",117113,"2010",-74.0043303610801,40.7145577358025,"2060434"
"2","2026588","Rosie the Riveter/World War II Home Front","PW","CA","RORI","Rosie the Riveter/World War II Home Front National Historical Park","National Historical Park",31514,"2013",-122.366548278874,37.9086732850779,"2026588"
"3","2733433","President William Jefferson Clinton Birthplace Home","MW","AR","WICL","President William Jefferson Clinton Birthplace Home National Historic Site","National Historic Site",9749,"2011",-93.5963674851553,33.6676266489763,"2733433"
"4","1888937","Keweenaw","MW","MI","KEWE","Keweenaw National Historical Park","National Historical Park",14612,"2016",-88.5687124719425,47.1381666956672,"1888937"
"5","2002666","Martin Luther King Jr Memori","NC","DC","MLKM","Martin Luther King, Jr., Memorial","Other Designation",1490358,"2011",-77.0443993625247,38.8862898768537,"2002666"
"6","2127375","Sand Creek Massacre","IM","CO","SAND","Sand Creek Massacre National Historic Site","National Historic Site",4063,"2010",-102.516963562006,38.5641483064803,"2127375"
"7","1986830","Flight 93","NE","PA","FLNI","Flight 93 National Memorial","National Memorial",143725,"2007",-78.8945719974882,40.0606227026089,"1986830"
"8","2736075","Charles Young Buffalo Soldie","MW","OH","CHYO","Charles Young Buffalo Soldiers National Monument","National Monument",3993,"2015",-83.8946058367451,39.7080131986728,"2736075"
"9","2754548","Cesar E. Chavez","PW","CA","CECH","Casar E. Chpvez National Monument","National Monument",8157,"2013",-118.561590435894,35.2272988551623,"2754548"
"10","2733434","River Raisin","MW","MI","RIRA","River Raisin National Battlefield Park","National Battlefield Park",36206,"2011",-83.3761836132317,41.9129722921406,"2733434"
"11","1967105","Port Chicago Naval Magazine","PW","CA","POCH","Port Chicago Naval Magazine National Memorial","National Memorial",984,"2010",-122.030173459645,38.0568597121343,"1967105"
"12","2053533","Paterson Great Falls","NE","NJ","PAGR","Paterson Great Falls National Historical Park","National Historical Park",177498,"2016",-74.1802267987357,40.9159061569319,"2053533"
"13","2775864","Manhattan Project","IM","NM","MAPR","Manhattan Project National Historical Park","National Historical Park",104715,"2016",-84.3933347171577,35.9354023767439,"2775864"
"14","2775865","Waco Mammoth","IM","TX","WACO","Waco Mammoth National Monument","National Monument",20551,"2015",-97.1760689847456,31.6046643690852,"2775865"
"15","581971","Saint Croix Island","NE","ME","SACR","Saint Croix Island International Historic Site","International Historic Site",10709,"2013",-67.1336359374449,45.1285976792776,"581971"
"16","1163670","Crater Lake","PW","OR","CRLA","Crater Lake National Park","National Park",756344,"2016",-122.132759555073,42.9412317491197,"1163670"
"17","1531834","Lake Roosevelt","PW","WA","LARO","Lake Roosevelt National Recreation Area","National Recreation Area",1253571,"2016",-118.715168002806,47.9116458146954,"1531834"
"18","2055170","Lewis and Clark","PW","WA","LEWI","Lewis and Clark National Historical Park","National Historical Park",281576,"2016",-124.067646876811,46.286189610103,"2055170"
"19","1530459","Olympic","PW","WA","OLYM","Olympic National Park","National Park",3390221,"2016",-123.618473417334,47.7952033779385,"1530459"
"20","277263","Santa Monica Mountains","PW","CA","SAMO","Santa Monica Mountains National Recreation Area","National Recreation Area",906606,"2016",-118.720191889331,34.0837756783587,"277263"
"21","203271","Black Canyon of the Gunnison","IM","CO","BLCA","Black Canyon of the Gunnison National Park","National Park",238018,"2016",-107.725746091739,38.5790819188051,"203271"
"22","806297","Little Bighorn Battlefield","IM","MT","LIBI","Little Bighorn Battlefield National Monument","National Monument",332328,"2016",-107.428647815958,45.5650611794602,"806297"
"23","936867","Capulin Volcano","IM","NM","CAVO","Capulin Volcano National Monument","National Monument",60132,"2016",-103.971052266268,36.7817170145669,"936867"
"24","1888916","Fort Bowie","IM","AZ","FOBO","Fort Bowie National Historic Site","National Historic Site",8013,"2016",-109.451142364509,32.1492644779765,"1888916"
"25","928945","Gila Cliff Dwellings","IM","NM","GICL","Gila Cliff Dwellings National Monument","National Monument",41519,"2016",-108.273306067559,33.2276152894074,"928945"
"26","1470042","Manassas","NC","VA","MANA","Manassas National Battlefield Park","National Battlefield Park",534835,"2016",-77.5300417594604,38.8207807904059,"1470042"
"27","35519","Tumacacori","IM","AZ","TUMA","Tumacacori National Historical Park","National Historical Park",43829,"2016",-111.047773261563,31.5728378094346,"35519"
"28","35601","Tuzigoot","IM","AZ","TUZI","Tuzigoot National Monument","National Monument",104604,"2016",-112.027918048323,34.7729690694868,"35601"
"29","830099","Homestead","MW","NE","HOME","Homestead National Monument of America","National Monument",87755,"2016",-96.8340337154214,40.287971228637,"830099"
"30","1888974","Wolf Trap Farm Park","NC","VA","WOTR","Wolf Trap National Park for the Performing Arts","National Park",437513,"2016",-77.2635564698955,38.9379397820468,"1888974"
"31","588388","Monocacy","NC","MD","MONO","Monocacy National Battlefield","National Battlefield",87547,"2016",-77.4024695444385,39.3576984647687,"588388"
"32","589057","Antietam","NC","MD","ANTI","Antietam National Battlefield","National Battlefield",351911,"2016",-77.7380759692048,39.4701632161484,"589057"
"33","307911","Castillo de San Marcos","SE","FL","CASA","Castillo de San Marcos National Monument","National Monument",854664,"2016",-81.3121748711096,29.8978626813,"307911"
"34","1446610","Timpanogos Cave","IM","UT","TICA","Timpanogos Cave National Monument","National Monument",91261,"2016",-111.709406027085,40.4404032042525,"1446610"
"35","2733420","Theodore Roosevelt Island","NC","DC","THIS","Theodore Roosevelt Island","National Memorial",164360,"2016",-77.0624214827193,38.8958494061089,"2733420"
"36","530776","Lyndon Baines Johnson Grove","NC","DC","LYBA","Lyndon Baines Johnson Memorial Grove on the Potomac","National Memorial",260234,"2016",-77.0514606222526,38.8785881390369,"530776"
"37","1888900","Arlington House","NC","VA","ARHO","Arlington House, The Robert E. Lee Memorial","National Memorial",1057500,"2016",-77.0727292211596,38.8832756571887,"1888900"
"38","490476","Cumberland Gap","SE","KY","CUGA","Cumberland Gap National Historical Park","National Historical Park",820387,"2016",-83.6063607034253,36.6312718319302,"490476"
"39","38197","Wupatki","IM","AZ","WUPA","Wupatki National Monument","National Monument",223172,"2016",-111.403647220008,35.5611840969483,"38197"
"40","597496","Greenbelt Park","NC","MD","GREE","Greenbelt Park","Other Designation",137900,"2016",-76.900693330725,38.98404152791,"597496"
"41","234493","Point Reyes","PW","CA","PORE","Point Reyes National Seashore","National Seashore",2438442,"2016",-122.879771200388,38.0551161979788,"234493"
"42","1222505","Fort Sumter","SE","SC","FOSU","Fort Sumter National Monument","National Monument",888330,"2016",-79.8793365078185,32.7536006698811,"1222505"
"43","1006677","Carl Sandburg Home","SE","NC","CARL","Carl Sandburg Home National Historic Site","National Historic Site",80696,"2016",-82.4509702189569,35.2682502320418,"1006677"
"44","191398","Florissant Fossil Beds","IM","CO","FLFO","Florissant Fossil Beds National Monument","National Monument",73564,"2016",-105.281835115205,38.9129296583097,"191398"
"45","35382","Tonto","IM","AZ","TONT","Tonto National Monument","National Monument",38048,"2016",-111.113573537932,33.6484346449691,"35382"
"46","1888929","Home of Franklin D Roosevelt","NE","NY","HOFR","Home of Franklin D. Roosevelt National Historic Site","National Historic Site",193272,"2016",-73.9267191837716,41.7680498922883,"1888929"
"47","1227788","Ninety Six","SE","SC","NISI","Ninety Six National Historic Site","National Historic Site",118002,"2016",-82.0163643238575,34.1427424816667,"1227788"
"48","1252725","Charles Pinckney","SE","SC","CHPI","Charles Pinckney National Historic Site","National Historic Site",53184,"2016",-79.8248786427841,32.8457803164329,"1252725"
"49","1613756","Buck Island Reef","SE","VI","BUIS","Buck Island Reef National Monument","National Monument",38929,"2016",-64.6222157081978,17.8102699171725,"1613756"
"50","1439558","Cedar Breaks","IM","UT","CEBR","Cedar Breaks National Monument","National Monument",899676,"2016",-112.845169394108,37.6354158173578,"1439558"
"51","1383785","Padre Island","IM","TX","PAIS","Padre Island National Seashore","National Seashore",634012,"2016",-97.3410751758906,26.7058112132131,"1383785"
"52","1455716","Arches","IM","UT","ARCH","Arches National Park","National Park",1585718,"2016",-109.58637758463,38.7226244095915,"1455716"
"53","34968","Sunset Crater Volcano","IM","AZ","SUCR","Sunset Crater Volcano National Monument","National Monument",60233,"2016",-111.510387105426,35.3711486325527,"34968"
"54","2733422","Mary McLeod Bethune Council House","NC","DC","MABE","Mary McLeod Bethune Council House National Historic Site","National Historic Site",7149,"2016",-77.0309674256803,38.9081911087711,"2733422"
"55","2733423","Frederick Douglass","NC","DC","FRDO","Frederick Douglass National Historic Site","National Historic Site",67387,"2016",-76.9850814676352,38.8629846213608,"2733423"
"56","530748","Ford's Theatre","NC","DC","FOTH","Ford's Theatre National Historic Site","National Historic Site",650779,"2016",-77.0256620353245,38.896670048646,"530748"
"57","2510335","Brown v. Board of Education","MW","KS","BRVB","Brown v. Board of Education National Historic Site","National Historic Site",27968,"2016",-95.6764153398136,39.0379395230748,"2510335"
"58","56686","Fort Smith","MW","AR","FOSM","Fort Smith National Historic Site","National Historic Site",163636,"2016",-94.4312788158952,35.3883298899666,"56686"
"59","9526","Pipe Spring","IM","AZ","PISP","Pipe Spring National Monument","National Monument",46710,"2016",-112.739868127172,36.8628321819799,"9526"
"60","906062","El Morro","IM","NM","ELMO","El Morro National Monument","National Monument",59422,"2016",-108.346408779265,35.0389647041269,"906062"
"61","1101907","Chickasaw","IM","OK","CHIC","Chickasaw National Recreation Area","National Recreation Area",1676421,"2016",-97.0070248747869,34.4605287396326,"1101907"
"62","1304837","Andrew Johnson","SE","TN","ANJO","Andrew Johnson National Historic Site","National Historic Site",45937,"2016",-82.8381443792622,36.1553700408945,"1304837"
"63","1888959","Saint Paul's Church","NE","NY","SAPA","Saint Paul's Church National Historic Site","National Historic Site",20830,"2016",-73.8257741666661,40.8928434139302,"1888959"
"64","945983","Castle Clinton","NE","NY","CACL","Castle Clinton National Monument","National Monument",4812930,"2016",-74.0168070314038,40.7034862041949,"945983"
"65","1605065","Fossil Butte","IM","WY","FOBU","Fossil Butte National Monument","National Monument",20737,"2016",-110.76248710163,41.8563584791568,"1605065"
"66","456249","Effigy Mounds","MW","IA","EFMO","Effigy Mounds National Monument","National Monument",77195,"2016",-91.2082760191327,43.0913960972618,"456249"
"67","202599","Hovenweep","IM","UT","HOVE","Hovenweep National Monument","National Monument",42862,"2016",-109.073000854605,37.3853659740954,"202599"
"68","889156","Fort Union","IM","NM","FOUN","Fort Union National Monument","National Monument",11953,"2016",-105.012027080592,35.907377006592,"889156"
"69","15492","Organ Pipe Cactus","IM","AZ","ORPI","Organ Pipe Cactus National Monument","National Monument",234186,"2016",-112.857342434891,32.0358603172125,"15492"
"70","1821086","Lincoln Home","MW","IL","LIHO","Lincoln Home National Historic Site","National Historic Site",239719,"2016",-89.6451401041819,39.797163800342,"1821086"
"71","496556","Abraham Lincoln Birthplace","SE","KY","ABLI","Abraham Lincoln Birthplace National Historical Park","National Historical Park",252495,"2016",-85.6444254945526,37.6119830654186,"496556"
"72","307632","Dry Tortugas","SE","FL","DRTO","Dry Tortugas National Park","National Park",73661,"2016",-82.871786918988,24.6488555062147,"307632"
"73","314290","Fort Frederica","SE","GA","FOFR","Fort Frederica National Monument","National Monument",192906,"2016",-81.3898457751014,31.2235611146825,"314290"
"74","1676813","Piscataway Park","NC","MD","PISC","Piscataway Park","Other Designation",123381,"2016",-77.0551179615728,38.6838991845384,"1676813"
"75","1804731","Manzanar","PW","CA","MANZ","Manzanar National Historic Site","National Historic Site",105307,"2016",-118.154730119334,36.7255970991736,"1804731"
"76","914261","White Sands","IM","NM","WHSA","White Sands National Monument","National Monument",555793,"2016",-106.325360144525,32.7783412347884,"914261"
"77","1450197","Bryce Canyon","IM","UT","BRCA","Bryce Canyon National Park","National Park",2365110,"2016",-112.182680298497,37.5839970829733,"1450197"
"78","1604577","John D. Rockefeller, Jr.","IM","WY","JODR","John D. Rockefeller, Jr., Memorial Parkway","National Parkway",1411819,"2016",-110.728051568674,44.0887199654086,"1604577"
"79","718402","George Washington Carver","MW","MO","GWCA","George Washington Carver National Monument","National Monument",46397,"2016",-94.3555307325164,36.9866484264109,"718402"
"80","904780","Carlsbad Caverns","IM","NM","CAVE","Carlsbad Caverns National Park","National Park",466773,"2016",-104.553121383071,32.1409515790057,"904780"
"81","874901","Edison","NE","NJ","EDIS","Thomas Edison National Historical Park","National Historic Site",57694,"2016",-74.2398224988192,40.7859790204677,"874901"
"82","1609331","Yellowstone","IM","WY","YELL","Yellowstone National Park","National Park",4257177,"2016",-110.547181557799,44.5982507306391,"1609331"
"83","6092","Hubbell Trading Post","IM","AZ","HUTR","Hubbell Trading Post National Historic Site","National Historic Site",67276,"2016",-109.559962235593,35.707278812305,"6092"
"84","1888906","Chamizal","IM","TX","CHAM","Chamizal National Memorial","National Memorial",147937,"2016",-106.45441086467,31.7673014738757,"1888906"
"85","365210","Hawai'i Volcanoes","PW","HI","HAVO","Hawai'i Volcanoes National Park","National Park",1887580,"2016",-155.602869609988,19.3776370049489,"365210"
"86","1377214","Alibates Flint Quarries","IM","TX","ALFL","Alibates Flint Quarries National Monument","National Monument",8153,"2016",-101.671717666903,35.5819656012028,"1377214"
"87","1877550","Pu'ukohola Heiau","PW","HI","PUHE","Pu'ukohola Heiau National Historic Site","National Historic Site",138565,"2016",-155.821177422066,20.0277253239675,"1877550"
"88","2733425","Ulysses S. Grant","MW","MO","ULSG","Ulysses S. Grant National Historic Site","National Historic Site",46071,"2016",-90.3516987755,38.551830857803,"2733425"
"89","307730","Canaveral","SE","FL","CANA","Canaveral National Seashore","National Seashore",1629944,"2016",-80.7541709214576,28.7863531616207,"307730"
"90","2060434","African Burial Ground","NE","NY","AFBG","African Burial Ground National Monument","National Monument",46526,"2016",-74.0043303610801,40.7145577358025,"2060434"
"91","255957","Cabrillo","PW","CA","CABR","Cabrillo National Monument","National Monument",959145,"2016",-117.241610458815,32.6722550525989,"255957"
"92","1211947","Valley Forge","NE","PA","VAFO","Valley Forge National Historical Park","National Historical Park",2428724,"2016",-75.4446256909116,40.0989079380665,"1211947"
"93","584569","George Washington Memorial Parkway","NC","VA","GWMP","George Washington Memorial Parkway","National Parkway",10323339,"2016",-77.04955089696,38.7149940430514,"584569"
"94","2733426","Clara Barton","NC","MD","CLBA","Clara Barton National Historic Site","National Historic Site",0,"2016",-77.1400992233062,38.9676366156605,"2733426"
"95","597426","Fort Washington Park","NC","MD","FOWA","Fort Washington Park","Other Designation",560358,"2016",-77.0287531430826,38.7121847232463,"597426"
"96","266000","Sequoia","PW","CA","SEQU","Sequoia National Park","National Park",1254688,"2016",-118.575213567817,36.5078579178692,"266000"
"97","365030","Kalaupapa","PW","HI","KALA","Kalaupapa National Historical Park","National Historical Park",71527,"2016",-156.92466426427,21.1546456539637,"365030"
"98","2492338","Tuskegee Airmen","SE","AL","TUAI","Tuskegee Airmen National Historic Site","National Historic Site",31133,"2016",-85.679837718778,32.4553928244713,"2492338"
"99","1993989","Salt River Bay","SE","VI","SARI","Salt River Bay National Historical Park and Ecological Preserve","National Historical Park",16449,"2016",-64.7551913239282,17.7790887547006,"1993989"
"100","1888946","Natchez","SE","MS","NATC","Natchez National Historical Park","National Historical Park",204120,"2016",-91.3824558087215,31.5430252231432,"1888946"
"101","1888911","Edgar Allan Poe","NE","PA","EDAL","Edgar Allan Poe National Historic Site","National Historic Site",14827,"2016",-75.1500079642263,39.9619628856201,"1888911"
"102","1888904","Boston African American","NE","MA","BOAF","Boston African American National Historic Site","National Historic Site",414170,"2016",-71.0706410284666,42.3579042995954,"1888904"
"103","507318","Mammoth Cave","SE","KY","MACA","Mammoth Cave National Park","National Park",586514,"2016",-86.1309069003164,37.1976116465446,"507318"
"104","1597571","Grand Teton","IM","WY","GRTE","Grand Teton National Park","National Park",3270076,"2016",-110.705478509491,43.8185421193918,"1597571"
"105","1888915","Eugene O'Neill","PW","CA","EUON","Eugene O'Neill National Historic Site","National Historic Site",4287,"2016",-122.027169801124,37.8260495411052,"1888915"
"106","1888899","Adams","NE","MA","ADAM","Adams National Historical Park","National Historical Park",199301,"2016",-71.0125499645413,42.2566028071673,"1888899"
"107","8538","Navajo","IM","AZ","NAVA","Navajo National Monument","National Monument",65705,"2016",-110.536267478887,36.6854969039155,"8538"
"108","1888967","Thomas Stone","NE","MD","THST","Thomas Stone National Historic Site","National Historic Site",10652,"2016",-77.0378152729138,38.5293521438023,"1888967"
"109","2733428","Cane River Creole","SE","LA","CARI","Cane River Creole National Historical Park","National Historical Park",26863,"2016",-93.0073052043444,31.6644474083247,"2733428"
"110","179042","Mesa Verde","IM","CO","MEVE","Mesa Verde National Park","National Park",583527,"2016",-108.462404262137,37.2390890876667,"179042"
"111","862430","Great Basin","PW","NV","GRBA","Great Basin National Park","National Park",144846,"2016",-114.257990142115,38.9461794395961,"862430"
"112","644333","Grand Portage","MW","MI","GRPO","Grand Portage National Monument","National Monument",95862,"2016",-89.7606956544956,47.999690677055,"644333"
"113","277264","Whiskeytown-Shasta-Trinity","PW","CA","WHIS","Whiskeytown-Shasta-Trinity National Recreation Area","National Recreation Area",875565,"2016",-122.602279329189,40.6136045554672,"277264"
"114","1655639","Fort Point","PW","CA","FOPO","Fort Point National Historic Site","National Historic Site",2264154,"2016",-122.473730471194,37.8084051479849,"1655639"
"115","1888961","Salem Maritime","NE","MA","SAMA","Salem Maritime National Historic Site","National Historic Site",371989,"2016",-70.8868387724325,42.5196076811197,"1888961"
"116","531850","Washington Monument","NC","DC","WAMO","Washington Monument","National Memorial",252677,"2016",-77.0354681488888,38.8886596046647,"531850"
"117","530557","Thomas Jefferson Memorial","NC","DC","JEFM","Thomas Jefferson Memorial","National Memorial",3414345,"2016",-77.0363280176902,38.8810220880921,"530557"
"118","1025558","Moores Creek","SE","NC","MOCR","Moores Creek National Battlefield","National Battlefield",83889,"2016",-78.1103137251677,34.4582145722664,"1025558"
"119","149966","Horseshoe Bend","SE","AL","HOBE","Horseshoe Bend National Military Park","National Military Park",83370,"2016",-85.7341404375545,32.9766950130906,"149966"
"120","307963","Fort Matanzas","SE","FL","FOMA","Fort Matanzas National Monument","National Monument",557810,"2016",-81.2386655147257,29.711411084357,"307963"
"121","1662323","Channel Islands","PW","CA","CHIS","Channel Islands National Park","National Park",364807,"2016",-119.739669210979,34.0165780113139,"1662323"
"122","1448008","Canyonlands","IM","UT","CANY","Canyonlands National Park","National Park",776218,"2016",-109.877014972081,38.243557436626,"1448008"
"123","2091841","Little Rock Central High School","MW","AR","CHSC","Little Rock Central High School National Historic Site","National Historic Site",129540,"2016",-92.2997575299792,34.7369611975615,"2091841"
