"","park","park_std","total_deaths","lat","lon","z"
"1","Acadia National Park","acadia",22,44.3386,-68.2733,22
"2","Allegheny Portage Railroad National Historic Site","allegheny portage railroad national historic site",1,40.4564,-78.61,1
"3","Amistad National Recreation Area","amistad",10,29.5347,-101.0775,10
"4","Anacostia Park","anacostia park",10,38.89,-76.96,10
"5","Apostle Islands National Lakeshore","apostle islands national lakeshore",6,47.0198,-90.656,6
"6","Appalachian National Scenic Trail","appalachian national scenic trail",8,40,-78,8
"7","Arches National Park","arches",9,38.7226244095915,-109.58637758463,9
"8","Assateague Island National Seashore","assateague island national seashore",10,38.0525,-75.2444,10
"9","Badlands National Park","badlands",4,43.8340695663258,-102.393955095558,4
"10","Baltimore-Washington Parkway","baltimore-washington parkway",45,39.03,-76.85,45
"11","Bandelier National Monument","bandelier",2,35.7576123337358,-106.305444434084,2
"12","Big Bend National Park","big bend",20,29.25,-103.25,20
"13","Big Cypress National Preserve","big cypress national preserve",9,25.9739,-81.0839,9
"14","Big South Fork National River and Recreation Area","big south fork national river recreation area",13,36.5417,-84.7167,13
"15","Big Thicket National Preserve","big thicket national preserve",13,30.4575,-94.3925,13
"16","Bighorn Canyon National Recreation Area","bighorn canyon",8,45.2890956746912,-108.026415221663,8
"17","Biscayne National Park","biscayne",14,25.4905916099637,-80.2102411862698,14
"18","Black Canyon Of The Gunnison National Park","black canyon gunnison",5,38.5790819188051,-107.725746091739,5
"19","Blue Ridge Parkway","blue ridge parkway",128,36,-80,128
"20","Bluestone National Scenic River","bluestone national scenic river",1,37.6139,-80.8711,1
"21","Boston National Historical Park","boston national historical park",3,42.3736,-71.057,3
"22","Bryce Canyon National Park","bryce canyon",3,37.5839970829733,-112.182680298497,3
"23","Buck Island Reef National Monument","buck island reef",1,17.8102699171725,-64.6222157081978,1
"24","Buffalo National River","buffalo national river",35,36.0408,-92.8803,35
"25","Canaveral National Seashore","canaveral national seashore",5,28.7619,-80.7494,5
"26","Canyon De Chelly National Monument","canyon de chelly",1,36.0940610356443,-109.340077989785,1
"27","Canyonlands National Park","canyonlands",18,38.243557436626,-109.877014972081,18
"28","Cape Cod National Seashore","cape cod national seashore",19,41.9268,-70.0267,19
"29","Cape Hatteras National Seashore","cape hatteras national seashore",60,35.3582,-75.55,60
"30","Cape Lookout National Seashore","cape lookout national seashore",4,34.9876,-76.3416,4
"31","Capitol Reef National Park","capitol reef",7,38.3836736152223,-111.2830148968,7
"32","Carlsbad Caverns National Park","carlsbad caverns",2,32.1409515790057,-104.553121383071,2
"33","Castillo De San Marcos National Monument","castillo de san marcos",2,29.8978626813,-81.3121748711096,2
"34","Catoctin Mountain Park","catoctin mountain park",4,39.648221233114,-77.4612238024128,4
"35","Channel Islands National Park","channel islands",12,34.0165780113139,-119.739669210979,12
"36","Chattahoochee River National Recreation Area","chattahoochee river",40,34.0094,-84.2809,40
"37","Chesapeake & Ohio Canal National Historical Park","chesapeake & ohio canal national historical park",22,39.4582,-77.75,22
"38","Chickamauga & Chattanooga National Military Park","chickamauga & chattanooga national military park",5,34.9404,-85.2547,5
"39","Chickasaw National Recreation Area","chickasaw",9,34.4605287396326,-97.0070248747869,9
"40","Clara Barton National Historic Site","clara barton national historic site",4,38.9675,-77.1383,4
"41","Colonial National Historical Park","colonial national historical park",14,37.2275,-76.6122,14
"42","Colorado National Monument","colorado",17,39.0504562319378,-108.692081780026,17
"43","Congaree National Park","congaree",1,33.7918818035493,-80.7486811935812,1
"44","Coronado National Memorial","coronado national memorial",2,31.345,-110.32,2
"45","Crater Lake National Park","crater lake",10,42.9412317491197,-122.132759555073,10
"46","Craters Of The Moon National Monument & Preserve","craters moon & preserve",3,43.4162,-113.5161,3
"47","Cumberland Gap National Historical Park","cumberland gap national historical park",6,36.5925,-83.6642,6
"48","Cumberland Island National Seashore","cumberland island national seashore",1,30.8535,-81.4543,1
"49","Curecanti National Recreation Area","curecanti",13,38.4628571338135,-107.167349525566,13
"50","Cuyahoga Valley National Park","cuyahoga valley",20,41.2613422148108,-81.5690586772722,20
"51","Death Valley National Park","death valley",41,36.4782299033213,-117.129781852971,41
"52","Delaware Water Gap National Recreation Area","delaware water gap",55,41.1167,-74.905,55
"53","Denali National Park & Preserve","denali & preserve",63,63.1148,-151.1926,63
"54","Devils Tower National Monument","devils tower",1,44.5906536181037,-104.715644848742,1
"55","Dinosaur National Monument","dinosaur",9,40.4791390407833,-108.839490177716,9
"56","Dry Tortugas National Park","dry tortugas",5,24.6488555062147,-82.871786918988,5
"57","Eisenhower National Historic Site","eisenhower national historic site",1,39.8069,-77.2311,1
"58","El Morro National Monument","el morro",1,35.0389647041269,-108.346408779265,1
"59","Everglades National Park","everglades",12,25.2866,-80.8987,12
"60","Fire Island National Seashore","fire island national seashore",4,40.7325,-73.1089,4
"61","First State National Historical Park","first state national historical park",1,39.8282,-75.5465,1
"62","Florissant Fossil Beds National Monument","florissant fossil beds",1,38.9129296583097,-105.281835115205,1
"63","Fort Bowie National Historic Site","fort bowie national historic site",2,32.1542,-109.4497,2
"64","Fort Foote Park","fort foote park",2,38.7745,-77.0192,2
"65","Fort Pulaski National Monument","fort pulaski",1,32.0347837830884,-80.943631706667,1
"66","Fort Vancouver National Historic Site","fort vancouver national historic site",1,45.6247,-122.6615,1
"67","Fort Washington Park","fort washington park",1,38.7121847232463,-77.0287531430826,1
"68","Fredericksburg & Spotsylvania National Military Park","fredericksburg & spotsylvania national military park",3,38.2996,-77.5186,3
"69","Friendship Hill National Historic Site","friendship hill national historic site",1,39.785,-79.9342,1
